index,top_ten_hashtags,date
25,"[('COVID19', 367), ('coronavirus', 145), ('lockdown', 42), ('covid19', 36), ('Coronavirus', 32), ('NHS', 27), ('StayHomeSaveLives', 26), ('Covid19', 24), ('CoronaVirus', 23), ('Glasgow', 20)]",2020-04-14
26,"[('COVID19', 304), ('coronavirus', 122), ('Covid19', 46), ('covid19', 37), ('NHS', 34), ('Covid_19', 33), ('lockdown', 30), ('Coronavirus', 21), ('StayHomeSaveLives', 20), ('StayHome', 18)]",2020-04-15
27,"[('COVID19', 444), ('coronavirus', 186), ('Covid_19', 112), ('NHS', 55), ('lockdown', 47), ('covid19', 40), ('Covid19', 32), ('NHSheroes', 28), ('StayAtHome', 28), ('StayHomeSaveLives', 26)]",2020-04-16
28,"[('Covid_19', 258), ('COVID19', 223), ('coronavirus', 107), ('NHS', 34), ('StayHomeSaveLives', 28), ('covid19', 28), ('Covid19', 27), ('lockdown', 26), ('nhs', 20), ('Lockdown', 20)]",2020-04-17
29,"[('Covid_19', 258), ('coronavirus', 106), ('COVID19', 105), ('COVID', 60), ('lockdown', 39), ('covid19', 30), ('NHS', 30), ('Covid19', 27), ('Coronavirus', 19), ('StayHomeSaveLives', 18)]",2020-04-18
30,"[('COVID19', 238), ('coronavirus', 116), ('lockdown', 42), ('covid19', 25), ('Covid19', 23), ('COVID', 21), ('Covid_19', 21), ('Coronavirus', 20), ('NHS', 19), ('CoronaVirus', 12)]",2020-04-19
31,"[('COVID19', 234), ('coronavirus', 134), ('covid19', 43), ('lockdown', 41), ('COVIDー19', 30), ('COVID', 25), ('Covid19', 25), ('Lockdown', 21), ('Coronavirus', 21), ('Scotland', 15)]",2020-04-20
32,"[('COVID19', 258), ('coronavirus', 134), ('covid19', 37), ('lockdown', 33), ('COVIDー19', 28), ('Coronavirus', 22), ('Covid19', 17), ('NHS', 14), ('CoronaVirus', 12), ('staysafe', 11)]",2020-04-21
33,"[('COVID19', 294), ('coronavirus', 112), ('covid19', 40), ('lockdown', 29), ('Covid19', 18), ('COVID', 17), ('nhs', 16), ('uk', 15), ('Glasgow', 15), ('NHS', 15)]",2020-04-22
34,"[('COVID19', 290), ('coronavirus', 111), ('covid19', 40), ('lockdown', 37), ('Covid_19', 37), ('COVID', 29), ('NHS', 27), ('Covid19', 26), ('Glasgow', 25), ('lockdownuk', 24)]",2020-04-23
35,"[('COVID19', 159), ('coronavirus', 106), ('Covid_19', 95), ('covid19', 33), ('lockdown', 32), ('Covid19', 29), ('Trump', 24), ('disinfectant', 17), ('covid_19', 15), ('lockdownuk', 14)]",2020-04-24
