,date,county,sentiment,New County,viable,id
27744,2021-01-03,Bedfordshire,0.696969696969697,Bedfordshire,1,0
7200,2020-06-03,Bedfordshire,0.875,Bedfordshire,1,0
27648,2021-01-02,Bedfordshire,0.4,Bedfordshire,1,0
7296,2020-06-04,Bedfordshire,0.625,Bedfordshire,1,0
27552,2021-01-01,Bedfordshire,0.7,Bedfordshire,1,0
7392,2020-06-05,Bedfordshire,0.7857142857142857,Bedfordshire,1,0
27456,2020-12-31,Bedfordshire,0.6,Bedfordshire,1,0
7488,2020-06-06,Bedfordshire,0.9375,Bedfordshire,1,0
27360,2020-12-30,Bedfordshire,0.56,Bedfordshire,1,0
7584,2020-06-07,Bedfordshire,0.6,Bedfordshire,1,0
27264,2020-12-29,Bedfordshire,0.9411764705882353,Bedfordshire,1,0
7680,2020-06-08,Bedfordshire,0.25,Bedfordshire,1,0
30240,2021-01-29,Bedfordshire,1.0,Bedfordshire,1,0
4608,2020-05-07,Bedfordshire,0.7333333333333333,Bedfordshire,1,0
30336,2021-01-30,Bedfordshire,0.875,Bedfordshire,1,0
30432,2021-01-31,Bedfordshire,0.875,Bedfordshire,1,0
1536,2020-04-05,Bedfordshire,1.0,Bedfordshire,1,0
33408,2021-03-03,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
1632,2020-04-06,Bedfordshire,0.9259259259259259,Bedfordshire,1,0
33312,2021-03-02,Bedfordshire,0.3333333333333333,Bedfordshire,1,0
1728,2020-04-07,Bedfordshire,0.71875,Bedfordshire,1,0
33216,2021-03-01,Bedfordshire,0.2,Bedfordshire,1,0
1824,2020-04-08,Bedfordshire,0.5357142857142857,Bedfordshire,1,0
33120,2021-02-28,Bedfordshire,0.75,Bedfordshire,1,0
33504,2021-03-04,Bedfordshire,1.0,Bedfordshire,1,0
1920,2020-04-09,Bedfordshire,0.6470588235294118,Bedfordshire,1,0
2016,2020-04-10,Bedfordshire,0.6,Bedfordshire,1,0
32928,2021-02-26,Bedfordshire,0.6363636363636364,Bedfordshire,1,0
2112,2020-04-11,Bedfordshire,0.6153846153846154,Bedfordshire,1,0
32832,2021-02-25,Bedfordshire,0.8888888888888888,Bedfordshire,1,0
2208,2020-04-12,Bedfordshire,0.75,Bedfordshire,1,0
32736,2021-02-24,Bedfordshire,0.0,Bedfordshire,1,0
2304,2020-04-13,Bedfordshire,0.6428571428571429,Bedfordshire,1,0
32640,2021-02-23,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
33024,2021-02-27,Bedfordshire,0.7142857142857143,Bedfordshire,1,0
1440,2020-04-04,Bedfordshire,0.8148148148148148,Bedfordshire,1,0
33600,2021-03-05,Bedfordshire,0.6,Bedfordshire,1,0
1344,2020-04-03,Bedfordshire,0.8,Bedfordshire,1,0
34560,2021-03-15,Bedfordshire,0.0,Bedfordshire,1,0
480,2020-03-25,Bedfordshire,0.56,Bedfordshire,1,0
34464,2021-03-14,Bedfordshire,0.6,Bedfordshire,1,0
576,2020-03-26,Bedfordshire,0.8478260869565217,Bedfordshire,1,0
34368,2021-03-13,Bedfordshire,0.5714285714285714,Bedfordshire,1,0
672,2020-03-27,Bedfordshire,0.7777777777777778,Bedfordshire,1,0
34272,2021-03-12,Bedfordshire,1.0,Bedfordshire,1,0
768,2020-03-28,Bedfordshire,0.66,Bedfordshire,1,0
34176,2021-03-11,Bedfordshire,0.75,Bedfordshire,1,0
864,2020-03-29,Bedfordshire,0.6333333333333333,Bedfordshire,1,0
34080,2021-03-10,Bedfordshire,0.25,Bedfordshire,1,0
960,2020-03-30,Bedfordshire,0.5588235294117647,Bedfordshire,1,0
33984,2021-03-09,Bedfordshire,0.0,Bedfordshire,1,0
1056,2020-03-31,Bedfordshire,0.5454545454545454,Bedfordshire,1,0
33888,2021-03-08,Bedfordshire,0.5,Bedfordshire,1,0
1152,2020-04-01,Bedfordshire,0.7692307692307693,Bedfordshire,1,0
33792,2021-03-07,Bedfordshire,0.5,Bedfordshire,1,0
1248,2020-04-02,Bedfordshire,0.8148148148148148,Bedfordshire,1,0
33696,2021-03-06,Bedfordshire,0.8,Bedfordshire,1,0
2400,2020-04-14,Bedfordshire,0.53125,Bedfordshire,1,0
26112,2020-12-17,Bedfordshire,0.7083333333333334,Bedfordshire,1,0
32544,2021-02-22,Bedfordshire,0.7142857142857143,Bedfordshire,1,0
32448,2021-02-21,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
31296,2021-02-09,Bedfordshire,0.375,Bedfordshire,1,0
3744,2020-04-28,Bedfordshire,0.7560975609756098,Bedfordshire,1,0
31200,2021-02-08,Bedfordshire,0.5,Bedfordshire,1,0
3840,2020-04-29,Bedfordshire,0.7,Bedfordshire,1,0
31104,2021-02-07,Bedfordshire,0.7272727272727273,Bedfordshire,1,0
3936,2020-04-30,Bedfordshire,0.6923076923076923,Bedfordshire,1,0
31008,2021-02-06,Bedfordshire,0.6923076923076923,Bedfordshire,1,0
4032,2020-05-01,Bedfordshire,0.7777777777777778,Bedfordshire,1,0
3648,2020-04-27,Bedfordshire,0.5555555555555556,Bedfordshire,1,0
30912,2021-02-05,Bedfordshire,0.14285714285714285,Bedfordshire,1,0
30816,2021-02-04,Bedfordshire,0.6428571428571429,Bedfordshire,1,0
4224,2020-05-03,Bedfordshire,0.5714285714285714,Bedfordshire,1,0
30720,2021-02-03,Bedfordshire,0.4,Bedfordshire,1,0
4320,2020-05-04,Bedfordshire,0.5882352941176471,Bedfordshire,1,0
30624,2021-02-02,Bedfordshire,0.2727272727272727,Bedfordshire,1,0
4416,2020-05-05,Bedfordshire,0.4375,Bedfordshire,1,0
30528,2021-02-01,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
4512,2020-05-06,Bedfordshire,0.6111111111111112,Bedfordshire,1,0
4128,2020-05-02,Bedfordshire,0.5882352941176471,Bedfordshire,1,0
31392,2021-02-10,Bedfordshire,0.4444444444444444,Bedfordshire,1,0
3552,2020-04-26,Bedfordshire,0.6190476190476191,Bedfordshire,1,0
31488,2021-02-11,Bedfordshire,0.5555555555555556,Bedfordshire,1,0
2592,2020-04-16,Bedfordshire,0.5862068965517241,Bedfordshire,1,0
32352,2021-02-20,Bedfordshire,0.3333333333333333,Bedfordshire,1,0
2688,2020-04-17,Bedfordshire,0.44,Bedfordshire,1,0
32256,2021-02-19,Bedfordshire,0.45454545454545453,Bedfordshire,1,0
2784,2020-04-18,Bedfordshire,0.8076923076923077,Bedfordshire,1,0
32160,2021-02-18,Bedfordshire,0.6,Bedfordshire,1,0
2880,2020-04-19,Bedfordshire,0.5769230769230769,Bedfordshire,1,0
32064,2021-02-17,Bedfordshire,0.75,Bedfordshire,1,0
2976,2020-04-20,Bedfordshire,0.5333333333333333,Bedfordshire,1,0
31968,2021-02-16,Bedfordshire,0.8571428571428571,Bedfordshire,1,0
3072,2020-04-21,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
31872,2021-02-15,Bedfordshire,0.5,Bedfordshire,1,0
3168,2020-04-22,Bedfordshire,0.3,Bedfordshire,1,0
31776,2021-02-14,Bedfordshire,0.625,Bedfordshire,1,0
3264,2020-04-23,Bedfordshire,0.75,Bedfordshire,1,0
31680,2021-02-13,Bedfordshire,0.3333333333333333,Bedfordshire,1,0
3360,2020-04-24,Bedfordshire,0.47619047619047616,Bedfordshire,1,0
31584,2021-02-12,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
3456,2020-04-25,Bedfordshire,0.6818181818181818,Bedfordshire,1,0
2496,2020-04-15,Bedfordshire,0.782608695652174,Bedfordshire,1,0
8832,2020-06-20,Bedfordshire,0.8181818181818182,Bedfordshire,1,0
26016,2020-12-16,Bedfordshire,0.6875,Bedfordshire,1,0
8928,2020-06-21,Bedfordshire,0.7333333333333333,Bedfordshire,1,0
14304,2020-08-16,Bedfordshire,0.8125,Bedfordshire,1,0
20352,2020-10-18,Bedfordshire,0.8,Bedfordshire,1,0
14400,2020-08-17,Bedfordshire,0.8571428571428571,Bedfordshire,1,0
20256,2020-10-17,Bedfordshire,0.625,Bedfordshire,1,0
14496,2020-08-18,Bedfordshire,0.3076923076923077,Bedfordshire,1,0
20160,2020-10-16,Bedfordshire,0.16666666666666666,Bedfordshire,1,0
14592,2020-08-19,Bedfordshire,0.0,Bedfordshire,1,0
20064,2020-10-15,Bedfordshire,0.0,Bedfordshire,1,0
20448,2020-10-19,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
14688,2020-08-20,Bedfordshire,0.6,Bedfordshire,1,0
14784,2020-08-21,Bedfordshire,-0.55,Bedfordshire,1,0
19872,2020-10-13,Bedfordshire,0.75,Bedfordshire,1,0
14880,2020-08-22,Bedfordshire,0.0,Bedfordshire,1,0
19776,2020-10-12,Bedfordshire,0.6,Bedfordshire,1,0
14976,2020-08-23,Bedfordshire,-0.5882352941176471,Bedfordshire,1,0
19680,2020-10-11,Bedfordshire,0.7,Bedfordshire,1,0
15072,2020-08-24,Bedfordshire,0.2,Bedfordshire,1,0
19584,2020-10-10,Bedfordshire,0.5625,Bedfordshire,1,0
19968,2020-10-14,Bedfordshire,0.8888888888888888,Bedfordshire,1,0
14208,2020-08-15,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
20544,2020-10-20,Bedfordshire,0.9230769230769231,Bedfordshire,1,0
14112,2020-08-14,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
13248,2020-08-05,Bedfordshire,0.8571428571428571,Bedfordshire,1,0
21504,2020-10-30,Bedfordshire,0.25,Bedfordshire,1,0
13344,2020-08-06,Bedfordshire,0.9333333333333333,Bedfordshire,1,0
21408,2020-10-29,Bedfordshire,1.0,Bedfordshire,1,0
13440,2020-08-07,Bedfordshire,1.0,Bedfordshire,1,0
21312,2020-10-28,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
13536,2020-08-08,Bedfordshire,0.6666666666666666,Bedfordshire,1,0
21216,2020-10-27,Bedfordshire,0.42857142857142855,Bedfordshire,1,0
13632,2020-08-09,Bedfordshire,0.75,Bedfordshire,1,0
21120,2020-10-26,Bedfordshire,0.7142857142857143,Bedfordshire,1,0
13728,2020-08-10,Bedfordshire,0.5,Bedfordshire,1,0
21024,2020-10-25,Bedfordshire,0.14285714285714285,Bedfordshire,1,0
20928,2020-10-24,Bedfordshire,0.3333333333333333,Bedfordshire,1,0
13824,2020-08-11,Bedfordshire,1.0,Bedfordshire,1,0
20832,2020-10-23,Bedfordshire,-0.07142857142857142,Bedfordshire,1,0
13920,2020-08-12,Bedfordshire,1.0,Bedfordshire,1,0
20736,2020-10-22,Bedfordshire,0.2857142857142857,Bedfordshire,1,0
14016,2020-08-13,Bedfordshire,0.6875,Bedfordshire,1,0
20640,2020-10-21,Bedfordshire,0.7333333333333333,Bedfordshire,1,0
15168,2020-08-25,Bedfordshire,0.8571428571428571,Bedfordshire,1,0
21600,2020-10-31,Bedfordshire,0.5294117647058824,Bedfordshire,1,0
19488,2020-10-09,Bedfordshire,0.9,Bedfordshire,1,0
19392,2020-10-08,Bedfordshire,0.7777777777777778,Bedfordshire,1,0
18240,2020-09-26,Bedfordshire,0.8571428571428571,Bedfordshire,1,0
16512,2020-09-08,Bedfordshire,1.0,Bedfordshire,1,0
18144,2020-09-25,Bedfordshire,0.6363636363636364,Bedfordshire,1,0
16608,2020-09-09,Bedfordshire,0.7272727272727273,Bedfordshire,1,0
18048,2020-09-24,Bedfordshire,0.6153846153846154,Bedfordshire,1,0
16704,2020-09-10,Bedfordshire,0.47368421052631576,Bedfordshire,1,0
17952,2020-09-23,Bedfordshire,0.4444444444444444,Bedfordshire,1,0
16800,2020-09-11,Bedfordshire,1.0,Bedfordshire,1,0
16416,2020-09-07,Bedfordshire,0.7142857142857143,Bedfordshire,1,0
17856,2020-09-22,Bedfordshire,0.3157894736842105,Bedfordshire,1,0
17760,2020-09-21,Bedfordshire,0.6363636363636364,Bedfordshire,1,0
16992,2020-09-13,Bedfordshire,0.875,Bedfordshire,1,0
17664,2020-09-20,Bedfordshire,0.875,Bedfordshire,1,0
17088,2020-09-14,Bedfordshire,0.2,Bedfordshire,1,0
17568,2020-09-19,Bedfordshire,0.46153846153846156,Bedfordshire,1,0
